Data.Medicao;PRECIPITACAO_TOTAL
01/01/1990;11,375
01/02/1990;5,000
01/03/1990;5,188
01/04/1990;31,375
01/05/1990;12,063
01/06/1990;9,500
01/07/1990;17,813
01/08/1990;19,938
01/09/1990;6,438
01/10/1990;15,813
01/11/1990;12,813
01/12/1990;1,188
01/01/1991;3,000
01/02/1991;0,375
01/03/1991;30,375
01/04/1991;8,438
01/05/1991;97,313
01/06/1991;88,688
01/07/1991;36,750
01/08/1991;123,625
01/09/1991;2,438
01/10/1991;0,063
01/11/1991;1,063
01/12/1991;0,000
01/01/1992;90,688
01/02/1992;31,563
01/03/1992;201,688
01/04/1992;102,438
01/05/1992;12,750
01/06/1992;59,375
01/07/1992;91,375
01/08/1992;4,313
01/09/1992;22,375
01/10/1992;3,938
01/11/1992;0,063
01/12/1992;0,188
01/01/1993;0,188
01/02/1993;12,125
01/03/1993;0,250
01/04/1993;6,688
01/05/1993;48,438
01/06/1993;103,688
01/07/1993;74,375
01/08/1993;36,813
01/09/1993;6,625
01/10/1993;237,563
01/11/1993;12,438
01/12/1993;14,750
01/01/1994;4,813
01/02/1994;11,938
01/03/1994;58,938
01/04/1994;85,063
01/05/1994;136,875
01/06/1994;292,313
01/07/1994;193,125
01/08/1994;53,438
01/09/1994;51,563
01/10/1994;12,500
01/11/1994;11,563
01/12/1994;16,375
01/01/1995;2,250
01/02/1995;2,063
01/03/1995;2,000
01/04/1995;105,500
01/05/1995;113,250
01/06/1995;218,063
01/07/1995;148,188
01/08/1995;98,063
01/09/1995;33,563
01/10/1995;5,375
01/11/1995;69,125
01/12/1995;0,000
01/01/1996;18,563
01/02/1996;6,375
01/03/1996;51,813
01/04/1996;201,938
01/05/1996;193,438
01/06/1996;140,188
01/07/1996;122,938
01/08/1996;152,375
01/09/1996;33,688
01/10/1996;23,813
01/11/1996;48,250
01/12/1996;24,000
01/01/1997;58,625
01/02/1997;20,813
01/03/1997;80,000
01/04/1997;118,813
01/05/1997;139,000
01/06/1997;114,125
01/07/1997;106,188
01/08/1997;75,625
01/09/1997;0,875
01/10/1997;1,813
01/11/1997;7,000
01/12/1997;21,313
01/01/1998;81,750
01/02/1998;5,188
01/03/1998;9,000
01/04/1998;55,000
01/05/1998;101,000
01/06/1998;131,500
01/07/1998;112,188
01/08/1998;64,938
01/09/1998;22,063
01/10/1998;19,938
01/11/1998;0,000
01/12/1998;2,625
01/01/1999;4,375
01/02/1999;4,438
01/03/1999;1,125
01/04/1999;17,875
01/05/1999;130,313
01/06/1999;138,688
01/07/1999;128,000
01/08/1999;60,688
01/09/1999;101,688
01/10/1999;67,313
01/11/1999;90,188
01/12/1999;24,125
01/01/2000;53,250
01/02/2000;95,563
01/03/2000;60,563
01/04/2000;265,375
01/05/2000;77,875
01/06/2000;178,625
01/07/2000;105,563
01/08/2000;70,875
01/09/2000;131,375
01/10/2000;10,375
01/11/2000;36,625
01/12/2000;49,438
01/01/2001;13,625
01/02/2001;15,438
01/03/2001;43,250
01/04/2001;78,625
01/05/2001;45,000
01/06/2001;181,500
01/07/2001;153,063
01/08/2001;79,250
01/09/2001;30,688
01/10/2001;73,875
01/11/2001;5,313
01/12/2001;70,500
01/01/2002;183,813
01/02/2002;54,313
01/03/2002;48,313
01/04/2002;41,750
01/05/2002;185,375
01/06/2002;118,188
01/07/2002;66,250
01/08/2002;80,125
01/09/2002;26,875
01/10/2002;9,500
01/11/2002;15,313
01/12/2002;29,063
01/01/2003;16,250
01/02/2003;21,625
01/03/2003;98,438
01/04/2003;58,250
01/05/2003;99,875
01/06/2003;57,563
01/07/2003;68,875
01/08/2003;26,250
01/09/2003;29,625
01/10/2003;67,625
01/11/2003;53,438
01/12/2003;9,563
01/01/2004;407,125
01/02/2004;32,188
01/03/2004;32,250
01/04/2004;69,375
01/05/2004;120,375
01/06/2004;160,188
01/07/2004;72,813
01/08/2004;72,938
01/09/2004;65,188
01/10/2004;3,063
01/11/2004;6,563
01/12/2004;0,813
01/01/2005;9,563
01/02/2005;22,875
01/03/2005;22,563
01/04/2005;107,938
01/05/2005;266,813
01/06/2005;200,188
01/07/2005;154,125
01/08/2005;59,438
01/09/2005;19,313
01/10/2005;3,938
01/11/2005;23,563
01/12/2005;29,563
01/01/2006;3,188
01/02/2006;2,375
01/03/2006;26,875
01/04/2006;112,813
01/05/2006;132,125
01/06/2006;156,188
01/07/2006;95,375
01/08/2006;91,563
01/09/2006;102,438
01/10/2006;88,688
01/11/2006;17,250
01/12/2006;2,563
01/01/2007;5,688
01/02/2007;104,813
01/03/2007;130,313
01/04/2007;191,000
01/05/2007;216,188
01/06/2007;69,500
01/07/2007;108,438
01/08/2007;130,063
01/09/2007;41,563
01/10/2007;8,938
01/11/2007;4,250
01/12/2007;14,125
01/01/2008;9,563
01/02/2008;52,813
01/03/2008;207,188
01/04/2008;45,688
01/05/2008;194,750
01/06/2008;101,000
01/07/2008;113,688
01/08/2008;54,313
01/09/2008;22,313
01/10/2008;10,188
01/11/2008;2,438
01/12/2008;11,313
01/01/2009;15,750
01/02/2009;45,625
01/03/2009;11,125
01/04/2009;135,375
01/05/2009;365,813
01/06/2009;189,500
01/07/2009;130,500
01/08/2009;143,438
01/09/2009;32,125
01/10/2009;24,125
01/11/2009;1,063
01/12/2009;43,313
01/01/2010;49,813
01/02/2010;27,750
01/03/2010;34,625
01/04/2010;219,063
01/05/2010;78,625
01/06/2010;252,375
01/07/2010;168,625
01/08/2010;98,313
01/09/2010;83,438
01/10/2010;24,500
01/11/2010;3,500
01/12/2010;12,063
